question_id,family,domain,variety,question_text,option_0,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,gold_answer,language_variant_of,conversion_list_version,source_citation,source_snapshot_date,licence
F-KNOW-06-UK,F,knowledge,UK,"When an adult mouse or bird is castrated, its sexual behaviour virtually disappears. Compare the effects of castration of highly developed primates with the less developed animals.","Castration has no significant impact on sexual behaviour in any animals, regardless of their level of development",Castration leads to an increase in sexual behaviour in higher primates,Castration in higher primates reduces aggression but has no effect on sexual behaviour,"In higher primates such as man, castration does not affect the ability to perform the sexual act, provided the male is sexually mature and experienced. This is because the behaviour has been learned through experience.","Castration in higher primates leads to a temporary disruption of sexual behaviour, which is quickly restored",Castration stops all sexual behaviour in higher primates,"In higher primates, castration results in a change in the preference of sexual partners",Castration alters the learning ability of animals,Castration enhances the learning ability of animals regarding sexual behaviour,Castration has the same effect in all animals,D,A-KNOW-21-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-21-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-06-AU,F,knowledge,AU,"When an adult mouse or bird is castrated, its sexual behaviour virtually disappears. Compare the effects of castration of highly developed primates with the less developed animals.","Castration has no significant impact on sexual behaviour in any animals, regardless of their level of development",Castration leads to an increase in sexual behaviour in higher primates,Castration in higher primates reduces aggression but has no effect on sexual behaviour,"In higher primates such as man, castration does not affect the ability to perform the sexual act, provided the male is sexually mature and experienced. This is because the behaviour has been learned through experience.","Castration in higher primates leads to a temporary disruption of sexual behaviour, which is quickly restored",Castration stops all sexual behaviour in higher primates,"In higher primates, castration results in a change in the preference of sexual partners",Castration alters the learning ability of animals,Castration enhances the learning ability of animals regarding sexual behaviour,Castration has the same effect in all animals,D,A-KNOW-21-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-21-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-07-UK,F,knowledge,UK,Describe the various types of evidence from living organisms which support the theory of evolution.,"Evidence from historical records, archaeological findings, and fossils","Evidence from geography, climate, and environment","Evidence from astronomical observations, planetary movements, and meteorological patterns","Evidence from taxonomy, morphology, comparative biochemistry, embryological structures and development, and genetics.","Evidence from the study of pure mathematics, abstract algebra, and number theory","Evidence from linguistic development, written language evolution, and communication systems","Evidence from the use of artificial intelligence, machine learning, and computational simulations in biology","Evidence from dietary patterns, culinary traditions, and nutrition science","Evidence from social behaviour, communication, and cultural practices","Evidence from medical advancements, pharmaceutical inventions, and healthcare practices",D,A-KNOW-22-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-22-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-07-AU,F,knowledge,AU,Describe the various types of evidence from living organisms which support the theory of evolution.,"Evidence from historical records, archaeological findings, and fossils","Evidence from geography, climate, and environment","Evidence from astronomical observations, planetary movements, and meteorological patterns","Evidence from taxonomy, morphology, comparative biochemistry, embryological structures and development, and genetics.","Evidence from the study of pure mathematics, abstract algebra, and number theory","Evidence from linguistic development, written language evolution, and communication systems","Evidence from the use of artificial intelligence, machine learning, and computational simulations in biology","Evidence from dietary patterns, culinary traditions, and nutrition science","Evidence from social behaviour, communication, and cultural practices","Evidence from medical advancements, pharmaceutical inventions, and healthcare practices",D,A-KNOW-22-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-22-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-08-UK,F,knowledge,UK,Explain the types and effects of competition.,Competition is the active demand of two or more organisms for a common vital resource. It can be categorised into Contest competition and Scramble competition.,Competition is a cooperative interaction where organisms work together to maximise resource use.,Competition only involves physical confrontation.,Competition is solely determined by the availability of water resources.,"Competition is an interaction that only occurs within a species, known as Intraspecific competition.",Competition can be categorised into Predation competition and Mutualism competition.,Competition is a natural process that always results in the extinction of one species.,,,,A,A-KNOW-26-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-26-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-08-AU,F,knowledge,AU,Explain the types and effects of competition.,Competition is the active demand of two or more organisms for a common vital resource. It can be categorised into Contest competition and Scramble competition.,Competition is a cooperative interaction where organisms work together to maximise resource use.,Competition only involves physical confrontation.,Competition is solely determined by the availability of water resources.,"Competition is an interaction that only occurs within a species, known as Intraspecific competition.",Competition can be categorised into Predation competition and Mutualism competition.,Competition is a natural process that always results in the extinction of one species.,,,,A,A-KNOW-26-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-26-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-09-UK,F,knowledge,UK,What are restriction enzymes? Why was their discovery an important step in genetic engineering? What is arestriction map ?,Restriction enzymes are catalysts that indiscriminately cut DNA at random locations.,Restriction enzymes are proteins that modify DNA by adding methyl groups to specific sequences.,Restriction enzymes are a group of enzymes that facilitate the joining of DNA strands by forming hydrogen bonds between nucleotides.,Restriction enzymes are molecules that prevent the breakdown of DNA,Restriction enzymes are proteins that specifically bind to DNA and prevent any molecular interactions with it.,Restriction enzymes are enzymes that speed up the rate of DNA synthesis,Restriction enzymes are a type of RNA that binds to DNA and signals for its transcription.,Restriction enzymes are proteins that assist in DNA replication,Restriction enzymes are nucleases that recognise very specific sequences of DNA and can cut a double-stranded molecule of DNA at these recognition sites.,Restriction enzymes are synthetic molecules designed to link DNA fragments together.,I,A-KNOW-27-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-27-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-09-AU,F,knowledge,AU,What are restriction enzymes? Why was their discovery an important step in genetic engineering? What is arestriction map ?,Restriction enzymes are catalysts that indiscriminately cut DNA at random locations.,Restriction enzymes are proteins that modify DNA by adding methyl groups to specific sequences.,Restriction enzymes are a group of enzymes that facilitate the joining of DNA strands by forming hydrogen bonds between nucleotides.,Restriction enzymes are molecules that prevent the breakdown of DNA,Restriction enzymes are proteins that specifically bind to DNA and prevent any molecular interactions with it.,Restriction enzymes are enzymes that speed up the rate of DNA synthesis,Restriction enzymes are a type of RNA that binds to DNA and signals for its transcription.,Restriction enzymes are proteins that assist in DNA replication,Restriction enzymes are nucleases that recognise very specific sequences of DNA and can cut a double-stranded molecule of DNA at these recognition sites.,Restriction enzymes are synthetic molecules designed to link DNA fragments together.,I,A-KNOW-27-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-27-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-10-UK,F,knowledge,UK,"The citrate ion forms a tight bond with calcium ions so that the calcium is unable to react with other substances In view of this, why is sodium citrate added to whole blood immediately after it is drawn from a blood donor?",Sodium citrate is added to cause muscle spasms,Sodium citrate is added to catalyse the formation of fibrin,Sodium citrate is added to preserve the blood's colour,Sodium citrate is added to stimulate immune responses,Sodium citrate is added to increase calcium ions,Sodium citrate is added to prevent coagulation,Sodium citrate is added to increase the blood's viscosity,Sodium citrate is added to enhance oxygen carrying capacity of the blood,Sodium citrate is added to decrease the blood's pH level,Sodium citrate is added as a nutrient for blood cells,F,A-KNOW-28-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-28-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-10-AU,F,knowledge,AU,"The citrate ion forms a tight bond with calcium ions so that the calcium is unable to react with other substances In view of this, why is sodium citrate added to whole blood immediately after it is drawn from a blood donor?",Sodium citrate is added to cause muscle spasms,Sodium citrate is added to catalyse the formation of fibrin,Sodium citrate is added to preserve the blood's colour,Sodium citrate is added to stimulate immune responses,Sodium citrate is added to increase calcium ions,Sodium citrate is added to prevent coagulation,Sodium citrate is added to increase the blood's viscosity,Sodium citrate is added to enhance oxygen carrying capacity of the blood,Sodium citrate is added to decrease the blood's pH level,Sodium citrate is added as a nutrient for blood cells,F,A-KNOW-28-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-28-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-11-UK,F,knowledge,UK,"The checkered pattern of pigeons is controlled by a dominant gene C; plain colour is determined by the recessive allele c. Red colour is controlled by a dominant gene B, and brown colour by the recessive allele b. Complete a Punnett square for a dihybrid cross involving a homozygous checkered red bird and a plain brown bird. For this cross, show the expected phenotypes, genotypes, genotypic frequencies and phenotypic ratios for the F_2 generation. P: CCBB × ccbb Gametes: (CB) (cb) F_1 × F_1 CcBb × CcBb Gametes (CB) (Cb) (cB) (cb) (CB) CCBB CCBb CcBB CcBb (Cb) CCBb CCbb CcBb Ccbb (cB) CcBB CcBb ccBB ccBb (cb) CcBb Ccbb ccBb Ccbb","Phenotypic ratio: checkered red 6, checkered brown 2, plain red 6, plain brown 2","Phenotypic ratio: checkered red 8, checkered brown 4, plain red 0, plain brown 4","Phenotypic ratio: checkered red 9, checkered brown 3, plain red 3, plain brown 1","Phenotypic ratio: checkered red 1, checkered brown 3, plain red 9, plain brown 3","Phenotypic ratio: checkered red 3, checkered brown 9, plain red 1, plain brown 3","Phenotypic ratio: checkered red 4, checkered brown 4, plain red 4, plain brown 4","Phenotypic ratio: checkered red 12, checkered brown 2, plain red 2, plain brown 0","Phenotypic ratio: checkered red 5, checkered brown 3, plain red 2, plain brown 6","Phenotypic ratio: checkered red 7, checkered brown 5, plain red 1, plain brown 3","Phenotypic ratio: checkered red 2, checkered brown 6, plain red 3, plain brown 1",C,A-KNOW-29-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-29-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-11-AU,F,knowledge,AU,"The checkered pattern of pigeons is controlled by a dominant gene C; plain colour is determined by the recessive allele c. Red colour is controlled by a dominant gene B, and brown colour by the recessive allele b. Complete a Punnett square for a dihybrid cross involving a homozygous checkered red bird and a plain brown bird. For this cross, show the expected phenotypes, genotypes, genotypic frequencies and phenotypic ratios for the F_2 generation. P: CCBB × ccbb Gametes: (CB) (cb) F_1 × F_1 CcBb × CcBb Gametes (CB) (Cb) (cB) (cb) (CB) CCBB CCBb CcBB CcBb (Cb) CCBb CCbb CcBb Ccbb (cB) CcBB CcBb ccBB ccBb (cb) CcBb Ccbb ccBb Ccbb","Phenotypic ratio: checkered red 6, checkered brown 2, plain red 6, plain brown 2","Phenotypic ratio: checkered red 8, checkered brown 4, plain red 0, plain brown 4","Phenotypic ratio: checkered red 9, checkered brown 3, plain red 3, plain brown 1","Phenotypic ratio: checkered red 1, checkered brown 3, plain red 9, plain brown 3","Phenotypic ratio: checkered red 3, checkered brown 9, plain red 1, plain brown 3","Phenotypic ratio: checkered red 4, checkered brown 4, plain red 4, plain brown 4","Phenotypic ratio: checkered red 12, checkered brown 2, plain red 2, plain brown 0","Phenotypic ratio: checkered red 5, checkered brown 3, plain red 2, plain brown 6","Phenotypic ratio: checkered red 7, checkered brown 5, plain red 1, plain brown 3","Phenotypic ratio: checkered red 2, checkered brown 6, plain red 3, plain brown 1",C,A-KNOW-29-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-29-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-12-UK,F,knowledge,UK,Explain what difficulties would arise if messenger RNA molecules were not destroyed after they had produced some polypeptide chains.,"mRNA molecules would integrate into the cell's DNA, altering the genome","mRNA molecules would deplete nucleotides in the cell, halting all RNA synthesis",mRNA molecules would compete with DNA for resources,"mRNA molecules would bind to other mRNA molecules, preventing translation","If an mRNA molecule were not destroyed, it would continue to synthesise its protein, leading to an excess of this protein in the cell, serious depletion of the energy store, and accumulation of unneeded proteins that may harm the cell or organism.",mRNA molecules would cause the ribosomes to malfunction and stop protein synthesis,mRNA molecules would leave the cell nucleus and be unable to return for further protein synthesis,mRNA molecules would inhibit the function of tRNA,mRNA molecules would prevent DNA replication during cell division,mRNA molecules would mutate and produce incorrect proteins,E,A-KNOW-30-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-30-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-12-AU,F,knowledge,AU,Explain what difficulties would arise if messenger RNA molecules were not destroyed after they had produced some polypeptide chains.,"mRNA molecules would integrate into the cell's DNA, altering the genome","mRNA molecules would deplete nucleotides in the cell, halting all RNA synthesis",mRNA molecules would compete with DNA for resources,"mRNA molecules would bind to other mRNA molecules, preventing translation","If an mRNA molecule were not destroyed, it would continue to synthesise its protein, leading to an excess of this protein in the cell, serious depletion of the energy store, and accumulation of unneeded proteins that may harm the cell or organism.",mRNA molecules would cause the ribosomes to malfunction and stop protein synthesis,mRNA molecules would leave the cell nucleus and be unable to return for further protein synthesis,mRNA molecules would inhibit the function of tRNA,mRNA molecules would prevent DNA replication during cell division,mRNA molecules would mutate and produce incorrect proteins,E,A-KNOW-30-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-30-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-13-UK,F,knowledge,UK,"Red-green colour blindness is caused by a recessive sex- linked gene. If a red-green colour-blind man marries a woman with normal vision whose father was red-green colour blind, what will be the expected phenotypic results in their children?","All children, normal vision","(3/4) female, normal vision; (1/4) female, colour blind; (3/4) male, normal vision; (1/4) male, colour blind","Half of the females, normal vision; half of the females, colour blind; all males, normal vision","(1/4) female, normal vision; (1/4) male, normal vision; (1/4) female, colour blind; (1/4) male, colour blind","All females, carrier with normal vision; all males, colour blind","All females, colour blind; all males, normal vision","All females, normal vision; all males, colour blind","(1/2) female, normal vision; (1/2) female, colour blind; (1/2) male, normal vision; (1/2) male, colour blind","All females, colour blind; half of the males, colour blind; half of the males, normal vision","All children, colour blind",D,A-KNOW-31-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-31-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-13-AU,F,knowledge,AU,"Red-green colour blindness is caused by a recessive sex- linked gene. If a red-green colour-blind man marries a woman with normal vision whose father was red-green colour blind, what will be the expected phenotypic results in their children?","All children, normal vision","(3/4) female, normal vision; (1/4) female, colour blind; (3/4) male, normal vision; (1/4) male, colour blind","Half of the females, normal vision; half of the females, colour blind; all males, normal vision","(1/4) female, normal vision; (1/4) male, normal vision; (1/4) female, colour blind; (1/4) male, colour blind","All females, carrier with normal vision; all males, colour blind","All females, colour blind; all males, normal vision","All females, normal vision; all males, colour blind","(1/2) female, normal vision; (1/2) female, colour blind; (1/2) male, normal vision; (1/2) male, colour blind","All females, colour blind; half of the males, colour blind; half of the males, normal vision","All children, colour blind",D,A-KNOW-31-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-31-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-14-UK,F,knowledge,UK,What is a cell?,A cell is a single-celled organism that can exist independently.,A cell is a complex network of fibres that support body structures.,A cell is the fundamental organizational unit of life.,A cell is a type of tissue.,A cell is a membrane-bound unit that produces energy for the body.,A cell is a type of molecule that stores genetic information.,A cell is a small organism.,A cell is a biological compartment that contains air or fluid.,A cell is a part of the human body.,A cell is a structure composed entirely of proteins.,C,A-KNOW-32-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-32-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-14-AU,F,knowledge,AU,What is a cell?,A cell is a single-celled organism that can exist independently.,A cell is a complex network of fibres that support body structures.,A cell is the fundamental organizational unit of life.,A cell is a type of tissue.,A cell is a membrane-bound unit that produces energy for the body.,A cell is a type of molecule that stores genetic information.,A cell is a small organism.,A cell is a biological compartment that contains air or fluid.,A cell is a part of the human body.,A cell is a structure composed entirely of proteins.,C,A-KNOW-32-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-32-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-15-UK,F,knowledge,UK,What is the difference between a kinesis and a taxis?,Kinesis and taxis are different types of animal migration.,"A kinesis is an undirected type of orientation, while a taxis is a directed type of orientation.","Kinesis is a social behaviour among animals, whereas taxis is a solitary response to environmental cues.","Taxis involves a change in speed of movement in response to a stimulus, while kinesis involves a change in direction.","Taxis is a learned behaviour, while kinesis is an innate behaviour.","Kinesis is a type of behaviour that changes with the intensity of a stimulus, whereas taxis does not vary with stimulus intensity.","A kinesis results in movement toward a stimulus, while a taxis results in movement away from a stimulus.","Both kinesis and taxis refer to the same behavioral response, with no distinguishable difference.",Both kinesis and taxis are forms of directed orientation.,"A kinesis is a directed type of orientation, while a taxis is an undirected type of orientation.",B,A-KNOW-33-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-33-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-15-AU,F,knowledge,AU,What is the difference between a kinesis and a taxis?,Kinesis and taxis are different types of animal migration.,"A kinesis is an undirected type of orientation, while a taxis is a directed type of orientation.","Kinesis is a social behaviour among animals, whereas taxis is a solitary response to environmental cues.","Taxis involves a change in speed of movement in response to a stimulus, while kinesis involves a change in direction.","Taxis is a learned behaviour, while kinesis is an innate behaviour.","Kinesis is a type of behaviour that changes with the intensity of a stimulus, whereas taxis does not vary with stimulus intensity.","A kinesis results in movement toward a stimulus, while a taxis results in movement away from a stimulus.","Both kinesis and taxis refer to the same behavioral response, with no distinguishable difference.",Both kinesis and taxis are forms of directed orientation.,"A kinesis is a directed type of orientation, while a taxis is an undirected type of orientation.",B,A-KNOW-33-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-33-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
