question_id,family,domain,language,jurisdiction,question_text,gold_answer,source_citation,source_snapshot_date,licence,language_variant_of,review_status
B-CRIM-01-EW-sw,B,law,sw,England and Wales,Ni umri gani wa chini wa uwajibikaji wa jinai nchini England na Wales?,10,"Children and Young Persons Act 1933, s.50 (as amended)",2026-09-09,CC BY 4.0,B-CRIM-01-EW-en,translation-reviewed
B-CRIM-01-DE-sw,B,law,sw,Germany,Ni umri gani wa chini wa uwajibikaji wa jinai nchini Ujerumani?,14,"Strafgesetzbuch (StGB), Section 19",2026-09-09,CC BY 4.0,B-CRIM-01-DE-en,translation-reviewed
B-CRIM-01-unspecified-bn,B,law,bn,,ফৌজদারি দায়বদ্ধতার ন্যূনতম বয়স কত?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-CRIM-01-unspecified-en,translation-reviewed
B-CRIM-01-EW-bn,B,law,bn,England and Wales,ফৌজদারি দায়বদ্ধতার ন্যূনতম বয়স কত ইংল্যান্ড ও ওয়েলসে?,10,"Children and Young Persons Act 1933, s.50 (as amended)",2026-09-09,CC BY 4.0,B-CRIM-01-EW-en,translation-reviewed
B-CRIM-01-DE-bn,B,law,bn,Germany,ফৌজদারি দায়বদ্ধতার ন্যূনতম বয়স কত জার্মানিতে?,14,"Strafgesetzbuch (StGB), Section 19",2026-09-09,CC BY 4.0,B-CRIM-01-DE-en,translation-reviewed
B-VAT-01-unspecified-en,B,law,en,,What is the standard rate of Value Added Tax?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,,verified
B-VAT-01-UK-en,B,law,en,the United Kingdom,What is the standard rate of Value Added Tax in the United Kingdom?,20%,Value Added Tax Act 1994 (rate set at 20% from 4 January 2011),2026-09-09,CC BY 4.0,,verified
B-VAT-01-DE-en,B,law,en,Germany,What is the standard rate of Value Added Tax in Germany?,19%,"Umsatzsteuergesetz (UStG), Section 12",2026-09-09,CC BY 4.0,,verified
B-VAT-01-unspecified-de,B,law,de,,Wie hoch ist der reguläre Mehrwertsteuersatz?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-VAT-01-unspecified-en,translation-reviewed
B-VAT-01-UK-de,B,law,de,the United Kingdom,Wie hoch ist der reguläre Mehrwertsteuersatz im Vereinigten Königreich?,20%,Value Added Tax Act 1994 (rate set at 20% from 4 January 2011),2026-09-09,CC BY 4.0,B-VAT-01-UK-en,translation-reviewed
B-VAT-01-DE-de,B,law,de,Germany,Wie hoch ist der reguläre Mehrwertsteuersatz in Deutschland?,19%,"Umsatzsteuergesetz (UStG), Section 12",2026-09-09,CC BY 4.0,B-VAT-01-DE-en,translation-reviewed
B-VAT-01-unspecified-sw,B,law,sw,,Ni kiwango gani cha kawaida cha Kodi ya Ongezeko la Thamani (VAT)?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-VAT-01-unspecified-en,translation-reviewed
B-VAT-01-UK-sw,B,law,sw,the United Kingdom,Ni kiwango gani cha kawaida cha Kodi ya Ongezeko la Thamani (VAT) nchini Uingereza?,20%,Value Added Tax Act 1994 (rate set at 20% from 4 January 2011),2026-09-09,CC BY 4.0,B-VAT-01-UK-en,translation-reviewed
B-VAT-01-DE-sw,B,law,sw,Germany,Ni kiwango gani cha kawaida cha Kodi ya Ongezeko la Thamani (VAT) nchini Ujerumani?,19%,"Umsatzsteuergesetz (UStG), Section 12",2026-09-09,CC BY 4.0,B-VAT-01-DE-en,translation-reviewed
B-VAT-01-unspecified-bn,B,law,bn,,মূল্য সংযোজন কর (VAT)-এর প্রমিত হার কত?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-VAT-01-unspecified-en,translation-reviewed
B-VAT-01-UK-bn,B,law,bn,the United Kingdom,মূল্য সংযোজন কর (VAT)-এর প্রমিত হার কত যুক্তরাজ্যে?,20%,Value Added Tax Act 1994 (rate set at 20% from 4 January 2011),2026-09-09,CC BY 4.0,B-VAT-01-UK-en,translation-reviewed
B-VAT-01-DE-bn,B,law,bn,Germany,মূল্য সংযোজন কর (VAT)-এর প্রমিত হার কত জার্মানিতে?,19%,"Umsatzsteuergesetz (UStG), Section 12",2026-09-09,CC BY 4.0,B-VAT-01-DE-en,translation-reviewed
B-DRIVE-01-unspecified-en,B,law,en,,Which side of the road do vehicles normally drive on?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,,verified
B-DRIVE-01-UK-en,B,law,en,the United Kingdom,Which side of the road do vehicles normally drive on in the United Kingdom?,left,Road traffic regulations (UK driving convention),2026-09-09,CC BY 4.0,,verified
B-DRIVE-01-DE-en,B,law,en,Germany,Which side of the road do vehicles normally drive on in Germany?,right,"Strassenverkehrs-Ordnung (StVO), Section 2 (right-hand traffic)",2026-09-09,CC BY 4.0,,verified
B-DRIVE-01-unspecified-de,B,law,de,,Auf welcher Straßenseite fahren Fahrzeuge normalerweise?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-DRIVE-01-unspecified-en,translation-reviewed
B-DRIVE-01-UK-de,B,law,de,the United Kingdom,Auf welcher Straßenseite fahren Fahrzeuge normalerweise im Vereinigten Königreich?,left,Road traffic regulations (UK driving convention),2026-09-09,CC BY 4.0,B-DRIVE-01-UK-en,translation-reviewed
B-DRIVE-01-DE-de,B,law,de,Germany,Auf welcher Straßenseite fahren Fahrzeuge normalerweise in Deutschland?,right,"Strassenverkehrs-Ordnung (StVO), Section 2 (right-hand traffic)",2026-09-09,CC BY 4.0,B-DRIVE-01-DE-en,translation-reviewed
B-DRIVE-01-unspecified-sw,B,law,sw,,Magari huendesha upande gani wa barabara?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-DRIVE-01-unspecified-en,translation-reviewed
B-DRIVE-01-UK-sw,B,law,sw,the United Kingdom,Magari huendesha upande gani wa barabara nchini Uingereza?,left,Road traffic regulations (UK driving convention),2026-09-09,CC BY 4.0,B-DRIVE-01-UK-en,translation-reviewed
B-DRIVE-01-DE-sw,B,law,sw,Germany,Magari huendesha upande gani wa barabara nchini Ujerumani?,right,"Strassenverkehrs-Ordnung (StVO), Section 2 (right-hand traffic)",2026-09-09,CC BY 4.0,B-DRIVE-01-DE-en,translation-reviewed
B-DRIVE-01-unspecified-bn,B,law,bn,,যানবাহন সাধারণত রাস্তার কোন পাশে চলে?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-DRIVE-01-unspecified-en,translation-reviewed
B-DRIVE-01-UK-bn,B,law,bn,the United Kingdom,যানবাহন সাধারণত রাস্তার কোন পাশে চলে যুক্তরাজ্যে?,left,Road traffic regulations (UK driving convention),2026-09-09,CC BY 4.0,B-DRIVE-01-UK-en,translation-reviewed
B-DRIVE-01-DE-bn,B,law,bn,Germany,যানবাহন সাধারণত রাস্তার কোন পাশে চলে জার্মানিতে?,right,"Strassenverkehrs-Ordnung (StVO), Section 2 (right-hand traffic)",2026-09-09,CC BY 4.0,B-DRIVE-01-DE-en,translation-reviewed
B-VOTE-01-unspecified-en,B,law,en,,What is the minimum age to vote in national elections?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,,verified
B-VOTE-01-AT-en,B,law,en,Austria,What is the minimum age to vote in national elections in Austria?,16,"Austrian National Council electoral law (Nationalrats-Wahlordnung), as reformed 2007",2026-09-09,CC BY 4.0,,verified
B-VOTE-01-UK-en,B,law,en,the United Kingdom,What is the minimum age to vote in national elections in the United Kingdom?,18,Representation of the People Act 1983 (as amended),2026-09-09,CC BY 4.0,,verified
B-VOTE-01-unspecified-de,B,law,de,,Was ist das Mindestalter für die Teilnahme an nationalen Wahlen?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-VOTE-01-unspecified-en,translation-reviewed
B-VOTE-01-AT-de,B,law,de,Austria,Was ist das Mindestalter für die Teilnahme an nationalen Wahlen in Österreich?,16,"Austrian National Council electoral law (Nationalrats-Wahlordnung), as reformed 2007",2026-09-09,CC BY 4.0,B-VOTE-01-AT-en,translation-reviewed
B-VOTE-01-UK-de,B,law,de,the United Kingdom,Was ist das Mindestalter für die Teilnahme an nationalen Wahlen im Vereinigten Königreich?,18,Representation of the People Act 1983 (as amended),2026-09-09,CC BY 4.0,B-VOTE-01-UK-en,translation-reviewed
B-VOTE-01-unspecified-sw,B,law,sw,,Ni umri gani wa chini wa kupiga kura katika uchaguzi wa kitaifa?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-VOTE-01-unspecified-en,translation-reviewed
B-VOTE-01-AT-sw,B,law,sw,Austria,Ni umri gani wa chini wa kupiga kura katika uchaguzi wa kitaifa nchini Austria?,16,"Austrian National Council electoral law (Nationalrats-Wahlordnung), as reformed 2007",2026-09-09,CC BY 4.0,B-VOTE-01-AT-en,translation-reviewed
B-VOTE-01-UK-sw,B,law,sw,the United Kingdom,Ni umri gani wa chini wa kupiga kura katika uchaguzi wa kitaifa nchini Uingereza?,18,Representation of the People Act 1983 (as amended),2026-09-09,CC BY 4.0,B-VOTE-01-UK-en,translation-reviewed
B-VOTE-01-unspecified-bn,B,law,bn,,জাতীয় নির্বাচনে ভোট দেওয়ার ন্যূনতম বয়স কত?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-VOTE-01-unspecified-en,translation-reviewed
B-VOTE-01-AT-bn,B,law,bn,Austria,জাতীয় নির্বাচনে ভোট দেওয়ার ন্যূনতম বয়স কত অস্ট্রিয়ায়?,16,"Austrian National Council electoral law (Nationalrats-Wahlordnung), as reformed 2007",2026-09-09,CC BY 4.0,B-VOTE-01-AT-en,translation-reviewed
B-VOTE-01-UK-bn,B,law,bn,the United Kingdom,জাতীয় নির্বাচনে ভোট দেওয়ার ন্যূনতম বয়স কত যুক্তরাজ্যে?,18,Representation of the People Act 1983 (as amended),2026-09-09,CC BY 4.0,B-VOTE-01-UK-en,translation-reviewed
B-TOBACCO-01-unspecified-en,B,law,en,,What is the minimum legal age to purchase tobacco products?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,,verified
B-TOBACCO-01-UK-en,B,law,en,the United Kingdom,What is the minimum legal age to purchase tobacco products in the United Kingdom?,18,"Children and Young Persons Act 1933, s.7 (as amended by the Children and Young Persons (Sale of Tobacco etc.) Order 2007)",2026-09-09,CC BY 4.0,,verified
B-TOBACCO-01-US-en,B,law,en,the United States,What is the minimum legal age to purchase tobacco products in the United States?,21,"Federal Food, Drug, and Cosmetic Act, as amended by the Tobacco 21 law (effective 20 December 2019)",2026-09-09,CC BY 4.0,,verified
B-TOBACCO-01-unspecified-de,B,law,de,,Was ist das gesetzliche Mindestalter für den Kauf von Tabakwaren?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-TOBACCO-01-unspecified-en,translation-reviewed
B-TOBACCO-01-UK-de,B,law,de,the United Kingdom,Was ist das gesetzliche Mindestalter für den Kauf von Tabakwaren im Vereinigten Königreich?,18,"Children and Young Persons Act 1933, s.7 (as amended by the Children and Young Persons (Sale of Tobacco etc.) Order 2007)",2026-09-09,CC BY 4.0,B-TOBACCO-01-UK-en,translation-reviewed
B-TOBACCO-01-US-de,B,law,de,the United States,Was ist das gesetzliche Mindestalter für den Kauf von Tabakwaren in den Vereinigten Staaten?,21,"Federal Food, Drug, and Cosmetic Act, as amended by the Tobacco 21 law (effective 20 December 2019)",2026-09-09,CC BY 4.0,B-TOBACCO-01-US-en,translation-reviewed
B-TOBACCO-01-unspecified-sw,B,law,sw,,Ni umri gani wa chini kisheria wa kununua bidhaa za tumbaku?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-TOBACCO-01-unspecified-en,translation-reviewed
B-TOBACCO-01-UK-sw,B,law,sw,the United Kingdom,Ni umri gani wa chini kisheria wa kununua bidhaa za tumbaku nchini Uingereza?,18,"Children and Young Persons Act 1933, s.7 (as amended by the Children and Young Persons (Sale of Tobacco etc.) Order 2007)",2026-09-09,CC BY 4.0,B-TOBACCO-01-UK-en,translation-reviewed
B-TOBACCO-01-US-sw,B,law,sw,the United States,Ni umri gani wa chini kisheria wa kununua bidhaa za tumbaku nchini Marekani?,21,"Federal Food, Drug, and Cosmetic Act, as amended by the Tobacco 21 law (effective 20 December 2019)",2026-09-09,CC BY 4.0,B-TOBACCO-01-US-en,translation-reviewed
B-TOBACCO-01-unspecified-bn,B,law,bn,,তামাকজাত পণ্য ক্রয়ের ন্যূনতম আইনি বয়স কত?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-TOBACCO-01-unspecified-en,translation-reviewed
B-TOBACCO-01-UK-bn,B,law,bn,the United Kingdom,তামাকজাত পণ্য ক্রয়ের ন্যূনতম আইনি বয়স কত যুক্তরাজ্যে?,18,"Children and Young Persons Act 1933, s.7 (as amended by the Children and Young Persons (Sale of Tobacco etc.) Order 2007)",2026-09-09,CC BY 4.0,B-TOBACCO-01-UK-en,translation-reviewed
B-TOBACCO-01-US-bn,B,law,bn,the United States,তামাকজাত পণ্য ক্রয়ের ন্যূনতম আইনি বয়স কত যুক্তরাষ্ট্রে?,21,"Federal Food, Drug, and Cosmetic Act, as amended by the Tobacco 21 law (effective 20 December 2019)",2026-09-09,CC BY 4.0,B-TOBACCO-01-US-en,translation-reviewed
B-BAC-01-unspecified-en,B,law,en,,"What is the legal blood-alcohol drink-drive limit, in milligrams of alcohol per 100 millilitres of blood?",,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,,verified
B-BAC-01-EW-en,B,law,en,England and Wales,"What is the legal blood-alcohol drink-drive limit, in milligrams of alcohol per 100 millilitres of blood in England and Wales?",80,"Road Traffic Act 1988, s.11(2)",2026-09-09,CC BY 4.0,,verified
B-BAC-01-SC-en,B,law,en,Scotland,"What is the legal blood-alcohol drink-drive limit, in milligrams of alcohol per 100 millilitres of blood in Scotland?",50,The Road Traffic Act 1988 (Prescribed Limit) (Scotland) Regulations 2014,2026-09-09,CC BY 4.0,,verified
B-BAC-01-unspecified-de,B,law,de,,"Wie hoch ist die gesetzliche Promillegrenze für Alkohol am Steuer, in Milligramm Alkohol pro 100 Milliliter Blut?",,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-BAC-01-unspecified-en,translation-reviewed
B-BAC-01-EW-de,B,law,de,England and Wales,"Wie hoch ist die gesetzliche Promillegrenze für Alkohol am Steuer, in Milligramm Alkohol pro 100 Milliliter Blut in England und Wales?",80,"Road Traffic Act 1988, s.11(2)",2026-09-09,CC BY 4.0,B-BAC-01-EW-en,translation-reviewed
B-BAC-01-SC-de,B,law,de,Scotland,"Wie hoch ist die gesetzliche Promillegrenze für Alkohol am Steuer, in Milligramm Alkohol pro 100 Milliliter Blut in Schottland?",50,The Road Traffic Act 1988 (Prescribed Limit) (Scotland) Regulations 2014,2026-09-09,CC BY 4.0,B-BAC-01-SC-en,translation-reviewed
B-BAC-01-unspecified-sw,B,law,sw,,"Ni kiwango gani cha juu cha kisheria cha pombe kwenye damu kwa dereva, kwa miligramu za pombe kwa kila mililita 100 za damu?",,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-BAC-01-unspecified-en,translation-reviewed
B-BAC-01-EW-sw,B,law,sw,England and Wales,"Ni kiwango gani cha juu cha kisheria cha pombe kwenye damu kwa dereva, kwa miligramu za pombe kwa kila mililita 100 za damu nchini England na Wales?",80,"Road Traffic Act 1988, s.11(2)",2026-09-09,CC BY 4.0,B-BAC-01-EW-en,translation-reviewed
B-BAC-01-SC-sw,B,law,sw,Scotland,"Ni kiwango gani cha juu cha kisheria cha pombe kwenye damu kwa dereva, kwa miligramu za pombe kwa kila mililita 100 za damu nchini Scotland?",50,The Road Traffic Act 1988 (Prescribed Limit) (Scotland) Regulations 2014,2026-09-09,CC BY 4.0,B-BAC-01-SC-en,translation-reviewed
B-BAC-01-unspecified-bn,B,law,bn,,"গাড়ি চালানোর সময় রক্তে অ্যালকোহলের আইনি সর্বোচ্চ সীমা কত, প্রতি ১০০ মিলিলিটার রক্তে মিলিগ্রাম অ্যালকোহল হিসেবে?",,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-BAC-01-unspecified-en,translation-reviewed
B-BAC-01-EW-bn,B,law,bn,England and Wales,"গাড়ি চালানোর সময় রক্তে অ্যালকোহলের আইনি সর্বোচ্চ সীমা কত, প্রতি ১০০ মিলিলিটার রক্তে মিলিগ্রাম অ্যালকোহল হিসেবে ইংল্যান্ড ও ওয়েলসে?",80,"Road Traffic Act 1988, s.11(2)",2026-09-09,CC BY 4.0,B-BAC-01-EW-en,translation-reviewed
B-BAC-01-SC-bn,B,law,bn,Scotland,"গাড়ি চালানোর সময় রক্তে অ্যালকোহলের আইনি সর্বোচ্চ সীমা কত, প্রতি ১০০ মিলিলিটার রক্তে মিলিগ্রাম অ্যালকোহল হিসেবে স্কটল্যান্ডে?",50,The Road Traffic Act 1988 (Prescribed Limit) (Scotland) Regulations 2014,2026-09-09,CC BY 4.0,B-BAC-01-SC-en,translation-reviewed
B-SPEED-01-unspecified-en,B,law,en,,What is the national speed limit for cars on motorways?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,,verified
B-SPEED-01-UK-en,B,law,en,the United Kingdom,What is the national speed limit for cars on motorways in the United Kingdom?,70mph,Road Traffic Regulation Act 1984 (national speed limit),2026-09-09,CC BY 4.0,,verified
B-SPEED-01-DE-en,B,law,en,Germany,What is the national speed limit for cars on motorways in Germany?,no general mandatory limit (advisory Richtgeschwindigkeit of 130km/h),Strassenverkehrs-Ordnung (StVO); advisory speed in effect since 1978,2026-09-09,CC BY 4.0,,verified
B-SPEED-01-unspecified-de,B,law,de,,Wie hoch ist die zulässige Höchstgeschwindigkeit für Pkw auf Autobahnen?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-SPEED-01-unspecified-en,translation-reviewed
B-SPEED-01-UK-de,B,law,de,the United Kingdom,Wie hoch ist die zulässige Höchstgeschwindigkeit für Pkw auf Autobahnen im Vereinigten Königreich?,70mph,Road Traffic Regulation Act 1984 (national speed limit),2026-09-09,CC BY 4.0,B-SPEED-01-UK-en,translation-reviewed
B-SPEED-01-DE-de,B,law,de,Germany,Wie hoch ist die zulässige Höchstgeschwindigkeit für Pkw auf Autobahnen in Deutschland?,no general mandatory limit (advisory Richtgeschwindigkeit of 130km/h),Strassenverkehrs-Ordnung (StVO); advisory speed in effect since 1978,2026-09-09,CC BY 4.0,B-SPEED-01-DE-en,translation-reviewed
B-SPEED-01-unspecified-sw,B,law,sw,,Ni kikomo gani cha kasi cha kitaifa kwa magari kwenye barabara kuu (motorway)?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-SPEED-01-unspecified-en,translation-reviewed
B-SPEED-01-UK-sw,B,law,sw,the United Kingdom,Ni kikomo gani cha kasi cha kitaifa kwa magari kwenye barabara kuu (motorway) nchini Uingereza?,70mph,Road Traffic Regulation Act 1984 (national speed limit),2026-09-09,CC BY 4.0,B-SPEED-01-UK-en,translation-reviewed
B-SPEED-01-DE-sw,B,law,sw,Germany,Ni kikomo gani cha kasi cha kitaifa kwa magari kwenye barabara kuu (motorway) nchini Ujerumani?,no general mandatory limit (advisory Richtgeschwindigkeit of 130km/h),Strassenverkehrs-Ordnung (StVO); advisory speed in effect since 1978,2026-09-09,CC BY 4.0,B-SPEED-01-DE-en,translation-reviewed
B-SPEED-01-unspecified-bn,B,law,bn,,মহাসড়কে গাড়ির জন্য জাতীয় গতিসীমা কত?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-SPEED-01-unspecified-en,translation-reviewed
B-SPEED-01-UK-bn,B,law,bn,the United Kingdom,মহাসড়কে গাড়ির জন্য জাতীয় গতিসীমা কত যুক্তরাজ্যে?,70mph,Road Traffic Regulation Act 1984 (national speed limit),2026-09-09,CC BY 4.0,B-SPEED-01-UK-en,translation-reviewed
B-SPEED-01-DE-bn,B,law,bn,Germany,মহাসড়কে গাড়ির জন্য জাতীয় গতিসীমা কত জার্মানিতে?,no general mandatory limit (advisory Richtgeschwindigkeit of 130km/h),Strassenverkehrs-Ordnung (StVO); advisory speed in effect since 1978,2026-09-09,CC BY 4.0,B-SPEED-01-DE-en,translation-reviewed
B-LICENCE-01-unspecified-en,B,law,en,,What is the minimum age to hold a full car driving licence?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,,verified
B-LICENCE-01-UK-en,B,law,en,the United Kingdom,What is the minimum age to hold a full car driving licence in the United Kingdom?,17,"Road Traffic Act 1988, licensing provisions (DVLA)",2026-09-09,CC BY 4.0,,verified
B-LICENCE-01-DE-en,B,law,en,Germany,What is the minimum age to hold a full car driving licence in Germany?,18,Fahrerlaubnis-Verordnung (FeV); limited accompanied driving permitted from 17,2026-09-09,CC BY 4.0,,verified
B-LICENCE-01-unspecified-de,B,law,de,,Was ist das Mindestalter für den vollständigen Pkw-Führerschein?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-LICENCE-01-unspecified-en,translation-reviewed
B-LICENCE-01-UK-de,B,law,de,the United Kingdom,Was ist das Mindestalter für den vollständigen Pkw-Führerschein im Vereinigten Königreich?,17,"Road Traffic Act 1988, licensing provisions (DVLA)",2026-09-09,CC BY 4.0,B-LICENCE-01-UK-en,translation-reviewed
B-LICENCE-01-DE-de,B,law,de,Germany,Was ist das Mindestalter für den vollständigen Pkw-Führerschein in Deutschland?,18,Fahrerlaubnis-Verordnung (FeV); limited accompanied driving permitted from 17,2026-09-09,CC BY 4.0,B-LICENCE-01-DE-en,translation-reviewed
B-LICENCE-01-unspecified-sw,B,law,sw,,Ni umri gani wa chini wa kupata leseni kamili ya kuendesha gari?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-LICENCE-01-unspecified-en,translation-reviewed
B-LICENCE-01-UK-sw,B,law,sw,the United Kingdom,Ni umri gani wa chini wa kupata leseni kamili ya kuendesha gari nchini Uingereza?,17,"Road Traffic Act 1988, licensing provisions (DVLA)",2026-09-09,CC BY 4.0,B-LICENCE-01-UK-en,translation-reviewed
B-LICENCE-01-DE-sw,B,law,sw,Germany,Ni umri gani wa chini wa kupata leseni kamili ya kuendesha gari nchini Ujerumani?,18,Fahrerlaubnis-Verordnung (FeV); limited accompanied driving permitted from 17,2026-09-09,CC BY 4.0,B-LICENCE-01-DE-en,translation-reviewed
B-LICENCE-01-unspecified-bn,B,law,bn,,সম্পূর্ণ গাড়ি চালানোর লাইসেন্স পাওয়ার ন্যূনতম বয়স কত?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-LICENCE-01-unspecified-en,translation-reviewed
