question_id,family,domain,language,question_text,gold_answer,effective_from,effective_until,source_citation,source_snapshot_date,licence,language_variant_of,review_status
C-MARRY-01-v1-de,C,family_law,de,"Was war in England und Wales das Mindestalter, in dem eine 16-jährige Person rechtmäßig heiraten konnte, und unter welcher Bedingung?","16, with parental consent",,2023-02-26,"Marriage Act 1949, s.3 (as it stood before amendment)",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-MARRY-01-v1-en,candidate-translation
C-MARRY-01-v2-de,C,family_law,de,"Was war in England und Wales das Mindestalter, in dem eine 16-jährige Person rechtmäßig heiraten konnte, und unter welcher Bedingung?",Not lawful at 16 under any condition — minimum age is 18,2023-02-27,,Marriage and Civil Partnership (Minimum Age) Act 2022,2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-MARRY-01-v2-en,candidate-translation
C-MARRY-01-v1-sw,C,family_law,sw,"Nchini England na Wales, ni umri gani wa chini ambao mtu wa miaka 16 angeweza kuoa au kuolewa kisheria, na chini ya sharti gani?","16, with parental consent",,2023-02-26,"Marriage Act 1949, s.3 (as it stood before amendment)",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-MARRY-01-v1-en,candidate-translation
C-MARRY-01-v2-sw,C,family_law,sw,"Nchini England na Wales, ni umri gani wa chini ambao mtu wa miaka 16 angeweza kuoa au kuolewa kisheria, na chini ya sharti gani?",Not lawful at 16 under any condition — minimum age is 18,2023-02-27,,Marriage and Civil Partnership (Minimum Age) Act 2022,2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-MARRY-01-v2-en,candidate-translation
C-MARRY-01-v1-bn,C,family_law,bn,"ইংল্যান্ড ও ওয়েলসে, ১৬ বছর বয়সী একজন ব্যক্তি আইনত কোন ন্যূনতম বয়সে বিবাহ করতে পারতেন, এবং কোন শর্তে?","16, with parental consent",,2023-02-26,"Marriage Act 1949, s.3 (as it stood before amendment)",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-MARRY-01-v1-en,candidate-translation
C-MARRY-01-v2-bn,C,family_law,bn,"ইংল্যান্ড ও ওয়েলসে, ১৬ বছর বয়সী একজন ব্যক্তি আইনত কোন ন্যূনতম বয়সে বিবাহ করতে পারতেন, এবং কোন শর্তে?",Not lawful at 16 under any condition — minimum age is 18,2023-02-27,,Marriage and Civil Partnership (Minimum Age) Act 2022,2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-MARRY-01-v2-en,candidate-translation
C-VAT-01-v1-en,C,tax_law,en,What is the standard rate of Value Added Tax in the United Kingdom?,17.5%,,2011-01-03,"Value Added Tax Act 1994, as it stood before the 2011 change",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",,verified
C-VAT-01-v2-en,C,tax_law,en,What is the standard rate of Value Added Tax in the United Kingdom?,20%,2011-01-04,,"Value Added Tax Act 1994, as amended (rate increase announced by the Chancellor)",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",,verified
C-VAT-01-v1-de,C,tax_law,de,Wie hoch ist der reguläre Mehrwertsteuersatz im Vereinigten Königreich?,17.5%,,2011-01-03,"Value Added Tax Act 1994, as it stood before the 2011 change",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-VAT-01-v1-en,candidate-translation
C-VAT-01-v2-de,C,tax_law,de,Wie hoch ist der reguläre Mehrwertsteuersatz im Vereinigten Königreich?,20%,2011-01-04,,"Value Added Tax Act 1994, as amended (rate increase announced by the Chancellor)",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-VAT-01-v2-en,candidate-translation
C-VAT-01-v1-sw,C,tax_law,sw,Ni kiwango gani cha kawaida cha Kodi ya Ongezeko la Thamani (VAT) nchini Uingereza?,17.5%,,2011-01-03,"Value Added Tax Act 1994, as it stood before the 2011 change",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-VAT-01-v1-en,candidate-translation
C-VAT-01-v2-sw,C,tax_law,sw,Ni kiwango gani cha kawaida cha Kodi ya Ongezeko la Thamani (VAT) nchini Uingereza?,20%,2011-01-04,,"Value Added Tax Act 1994, as amended (rate increase announced by the Chancellor)",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-VAT-01-v2-en,candidate-translation
C-VAT-01-v1-bn,C,tax_law,bn,যুক্তরাজ্যে মূল্য সংযোজন করের (VAT) প্রমিত হার কত?,17.5%,,2011-01-03,"Value Added Tax Act 1994, as it stood before the 2011 change",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-VAT-01-v1-en,candidate-translation
C-VAT-01-v2-bn,C,tax_law,bn,যুক্তরাজ্যে মূল্য সংযোজন করের (VAT) প্রমিত হার কত?,20%,2011-01-04,,"Value Added Tax Act 1994, as amended (rate increase announced by the Chancellor)",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-VAT-01-v2-en,candidate-translation
C-MINWAGE-01-v1-en,C,employment_law,en,What hourly rate of the National Living Wage applies to a 23-year-old worker in the United Kingdom?,GBP 10.42,,2024-03-31,"GOV.UK, National Minimum Wage and National Living Wage rates (2023-24)",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",,verified
C-MINWAGE-01-v2-en,C,employment_law,en,What hourly rate of the National Living Wage applies to a 23-year-old worker in the United Kingdom?,GBP 11.44,2024-04-01,,"GOV.UK, National Minimum Wage and National Living Wage rates (2024-25)",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",,verified
C-MINWAGE-01-v1-de,C,employment_law,de,Welcher Stundenlohn des National Living Wage gilt für eine 23 Jahre alte Arbeitskraft im Vereinigten Königreich?,GBP 10.42,,2024-03-31,"GOV.UK, National Minimum Wage and National Living Wage rates (2023-24)",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-MINWAGE-01-v1-en,candidate-translation
C-MINWAGE-01-v2-de,C,employment_law,de,Welcher Stundenlohn des National Living Wage gilt für eine 23 Jahre alte Arbeitskraft im Vereinigten Königreich?,GBP 11.44,2024-04-01,,"GOV.UK, National Minimum Wage and National Living Wage rates (2024-25)",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-MINWAGE-01-v2-en,candidate-translation
C-MINWAGE-01-v1-sw,C,employment_law,sw,Ni kiwango gani cha malipo ya saa ya National Living Wage kinachotumika kwa mfanyakazi wa miaka 23 nchini Uingereza?,GBP 10.42,,2024-03-31,"GOV.UK, National Minimum Wage and National Living Wage rates (2023-24)",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-MINWAGE-01-v1-en,candidate-translation
C-MINWAGE-01-v2-sw,C,employment_law,sw,Ni kiwango gani cha malipo ya saa ya National Living Wage kinachotumika kwa mfanyakazi wa miaka 23 nchini Uingereza?,GBP 11.44,2024-04-01,,"GOV.UK, National Minimum Wage and National Living Wage rates (2024-25)",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-MINWAGE-01-v2-en,candidate-translation
C-MINWAGE-01-v1-bn,C,employment_law,bn,যুক্তরাজ্যে ২৩ বছর বয়সী একজন শ্রমিকের জন্য ন্যাশনাল লিভিং ওয়েজের ঘণ্টাপ্রতি হার কত?,GBP 10.42,,2024-03-31,"GOV.UK, National Minimum Wage and National Living Wage rates (2023-24)",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-MINWAGE-01-v1-en,candidate-translation
C-MINWAGE-01-v2-bn,C,employment_law,bn,যুক্তরাজ্যে ২৩ বছর বয়সী একজন শ্রমিকের জন্য ন্যাশনাল লিভিং ওয়েজের ঘণ্টাপ্রতি হার কত?,GBP 11.44,2024-04-01,,"GOV.UK, National Minimum Wage and National Living Wage rates (2024-25)",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-MINWAGE-01-v2-en,candidate-translation
C-SMOKE-01-v1-en,C,tobacco_law,en,"In the United States, what is the federal minimum legal age to purchase tobacco products?",18,,2019-12-19,"Federal Food, Drug, and Cosmetic Act, as it stood before the Tobacco 21 amendment",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",,verified
C-SMOKE-01-v2-en,C,tobacco_law,en,"In the United States, what is the federal minimum legal age to purchase tobacco products?",21,2019-12-20,,"Federal Food, Drug, and Cosmetic Act, as amended by the Tobacco 21 law",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",,verified
C-SMOKE-01-v1-de,C,tobacco_law,de,Was ist in den Vereinigten Staaten das bundesweite gesetzliche Mindestalter für den Kauf von Tabakwaren?,18,,2019-12-19,"Federal Food, Drug, and Cosmetic Act, as it stood before the Tobacco 21 amendment",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-SMOKE-01-v1-en,candidate-translation
C-SMOKE-01-v2-de,C,tobacco_law,de,Was ist in den Vereinigten Staaten das bundesweite gesetzliche Mindestalter für den Kauf von Tabakwaren?,21,2019-12-20,,"Federal Food, Drug, and Cosmetic Act, as amended by the Tobacco 21 law",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-SMOKE-01-v2-en,candidate-translation
C-SMOKE-01-v1-sw,C,tobacco_law,sw,"Nchini Marekani, ni umri gani wa chini kisheria wa shirikisho la kununua bidhaa za tumbaku?",18,,2019-12-19,"Federal Food, Drug, and Cosmetic Act, as it stood before the Tobacco 21 amendment",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-SMOKE-01-v1-en,candidate-translation
C-SMOKE-01-v2-sw,C,tobacco_law,sw,"Nchini Marekani, ni umri gani wa chini kisheria wa shirikisho la kununua bidhaa za tumbaku?",21,2019-12-20,,"Federal Food, Drug, and Cosmetic Act, as amended by the Tobacco 21 law",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-SMOKE-01-v2-en,candidate-translation
C-SMOKE-01-v1-bn,C,tobacco_law,bn,"যুক্তরাষ্ট্রে, তামাকজাত পণ্য ক্রয়ের জন্য ফেডারেল ন্যূনতম আইনি বয়স কত?",18,,2019-12-19,"Federal Food, Drug, and Cosmetic Act, as it stood before the Tobacco 21 amendment",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-SMOKE-01-v1-en,candidate-translation
C-SMOKE-01-v2-bn,C,tobacco_law,bn,"যুক্তরাষ্ট্রে, তামাকজাত পণ্য ক্রয়ের জন্য ফেডারেল ন্যূনতম আইনি বয়স কত?",21,2019-12-20,,"Federal Food, Drug, and Cosmetic Act, as amended by the Tobacco 21 law",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-SMOKE-01-v2-en,candidate-translation
C-DIVORCE-01-v1-en,C,family_law,en,"In England and Wales, what must a spouse show the court to obtain a divorce?","One of five specific grounds under the Matrimonial Causes Act 1973 (e.g. adultery, unreasonable behaviour, or a period of separation) — fault or separation must be proven",,2022-04-05,Matrimonial Causes Act 1973 (as it stood before the 2020 Act's commencement),2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",,verified
C-DIVORCE-01-v2-en,C,family_law,en,"In England and Wales, what must a spouse show the court to obtain a divorce?",A statement that the marriage has broken down irretrievably — no fault or separation period needs to be proven,2022-04-06,,"Divorce, Dissolution and Separation Act 2020",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",,verified
C-DIVORCE-01-v1-de,C,family_law,de,"Was muss ein Ehepartner in England und Wales dem Gericht nachweisen, um eine Scheidung zu erhalten?","One of five specific grounds under the Matrimonial Causes Act 1973 (e.g. adultery, unreasonable behaviour, or a period of separation) — fault or separation must be proven",,2022-04-05,Matrimonial Causes Act 1973 (as it stood before the 2020 Act's commencement),2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-DIVORCE-01-v1-en,candidate-translation
C-DIVORCE-01-v2-de,C,family_law,de,"Was muss ein Ehepartner in England und Wales dem Gericht nachweisen, um eine Scheidung zu erhalten?",A statement that the marriage has broken down irretrievably — no fault or separation period needs to be proven,2022-04-06,,"Divorce, Dissolution and Separation Act 2020",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-DIVORCE-01-v2-en,candidate-translation
C-DIVORCE-01-v1-sw,C,family_law,sw,"Nchini England na Wales, ni nini ambacho mwenzi wa ndoa lazima athibitishe mahakamani ili apate talaka?","One of five specific grounds under the Matrimonial Causes Act 1973 (e.g. adultery, unreasonable behaviour, or a period of separation) — fault or separation must be proven",,2022-04-05,Matrimonial Causes Act 1973 (as it stood before the 2020 Act's commencement),2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-DIVORCE-01-v1-en,candidate-translation
C-DIVORCE-01-v2-sw,C,family_law,sw,"Nchini England na Wales, ni nini ambacho mwenzi wa ndoa lazima athibitishe mahakamani ili apate talaka?",A statement that the marriage has broken down irretrievably — no fault or separation period needs to be proven,2022-04-06,,"Divorce, Dissolution and Separation Act 2020",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-DIVORCE-01-v2-en,candidate-translation
C-DIVORCE-01-v1-bn,C,family_law,bn,"ইংল্যান্ড ও ওয়েলসে, তালাক পেতে একজন স্বামী বা স্ত্রীকে আদালতে কী প্রমাণ করতে হয়?","One of five specific grounds under the Matrimonial Causes Act 1973 (e.g. adultery, unreasonable behaviour, or a period of separation) — fault or separation must be proven",,2022-04-05,Matrimonial Causes Act 1973 (as it stood before the 2020 Act's commencement),2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-DIVORCE-01-v1-en,candidate-translation
C-DIVORCE-01-v2-bn,C,family_law,bn,"ইংল্যান্ড ও ওয়েলসে, তালাক পেতে একজন স্বামী বা স্ত্রীকে আদালতে কী প্রমাণ করতে হয়?",A statement that the marriage has broken down irretrievably — no fault or separation period needs to be proven,2022-04-06,,"Divorce, Dissolution and Separation Act 2020",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-DIVORCE-01-v2-en,candidate-translation
C-SUGAR-01-v1-en,C,tax_law,en,"In the United Kingdom, does a levy apply to manufacturers of high-sugar soft drinks?",No — no such levy exists,,2018-04-05,"Finance Act 2017, Part 2 (provisions not yet in force)",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",,verified
C-SUGAR-01-v2-en,C,tax_law,en,"In the United Kingdom, does a levy apply to manufacturers of high-sugar soft drinks?",Yes — the Soft Drinks Industry Levy applies,2018-04-06,,"Finance Act 2017, Part 2, in force from 6 April 2018",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",,verified
C-SUGAR-01-v1-de,C,tax_law,de,Gilt im Vereinigten Königreich eine Abgabe für Hersteller von stark zuckerhaltigen Erfrischungsgetränken?,No — no such levy exists,,2018-04-05,"Finance Act 2017, Part 2 (provisions not yet in force)",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-SUGAR-01-v1-en,candidate-translation
C-SUGAR-01-v2-de,C,tax_law,de,Gilt im Vereinigten Königreich eine Abgabe für Hersteller von stark zuckerhaltigen Erfrischungsgetränken?,Yes — the Soft Drinks Industry Levy applies,2018-04-06,,"Finance Act 2017, Part 2, in force from 6 April 2018",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-SUGAR-01-v2-en,candidate-translation
C-SUGAR-01-v1-sw,C,tax_law,sw,"Nchini Uingereza, je, kuna ushuru unaotumika kwa watengenezaji wa vinywaji vyenye sukari nyingi?",No — no such levy exists,,2018-04-05,"Finance Act 2017, Part 2 (provisions not yet in force)",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-SUGAR-01-v1-en,candidate-translation
C-SUGAR-01-v2-sw,C,tax_law,sw,"Nchini Uingereza, je, kuna ushuru unaotumika kwa watengenezaji wa vinywaji vyenye sukari nyingi?",Yes — the Soft Drinks Industry Levy applies,2018-04-06,,"Finance Act 2017, Part 2, in force from 6 April 2018",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-SUGAR-01-v2-en,candidate-translation
C-SUGAR-01-v1-bn,C,tax_law,bn,"যুক্তরাজ্যে, উচ্চ-চিনিযুক্ত কোমল পানীয় প্রস্তুতকারকদের উপর কি কোনো শুল্ক প্রযোজ্য?",No — no such levy exists,,2018-04-05,"Finance Act 2017, Part 2 (provisions not yet in force)",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-SUGAR-01-v1-en,candidate-translation
C-SUGAR-01-v2-bn,C,tax_law,bn,"যুক্তরাজ্যে, উচ্চ-চিনিযুক্ত কোমল পানীয় প্রস্তুতকারকদের উপর কি কোনো শুল্ক প্রযোজ্য?",Yes — the Soft Drinks Industry Levy applies,2018-04-06,,"Finance Act 2017, Part 2, in force from 6 April 2018",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-SUGAR-01-v2-en,candidate-translation
C-SMOKEBAN-01-v1-en,C,public_health_law,en,"In England, is smoking permitted inside enclosed public places and workplaces?",Yes — no general ban exists,,2007-06-30,Health Act 2006 (provisions not yet in force),2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",,verified
C-SMOKEBAN-01-v2-en,C,public_health_law,en,"In England, is smoking permitted inside enclosed public places and workplaces?",No — smoking is banned in virtually all enclosed public places and workplaces,2007-07-01,,"Health Act 2006, in force from 1 July 2007",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",,verified
C-SMOKEBAN-01-v1-de,C,public_health_law,de,Ist das Rauchen in England in geschlossenen öffentlichen Räumen und Arbeitsstätten erlaubt?,Yes — no general ban exists,,2007-06-30,Health Act 2006 (provisions not yet in force),2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-SMOKEBAN-01-v1-en,candidate-translation
C-SMOKEBAN-01-v2-de,C,public_health_law,de,Ist das Rauchen in England in geschlossenen öffentlichen Räumen und Arbeitsstätten erlaubt?,No — smoking is banned in virtually all enclosed public places and workplaces,2007-07-01,,"Health Act 2006, in force from 1 July 2007",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-SMOKEBAN-01-v2-en,candidate-translation
C-SMOKEBAN-01-v1-sw,C,public_health_law,sw,"Nchini England, je, uvutaji sigara unaruhusiwa ndani ya maeneo ya umma yaliyofungwa na sehemu za kazi?",Yes — no general ban exists,,2007-06-30,Health Act 2006 (provisions not yet in force),2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-SMOKEBAN-01-v1-en,candidate-translation
C-SMOKEBAN-01-v2-sw,C,public_health_law,sw,"Nchini England, je, uvutaji sigara unaruhusiwa ndani ya maeneo ya umma yaliyofungwa na sehemu za kazi?",No — smoking is banned in virtually all enclosed public places and workplaces,2007-07-01,,"Health Act 2006, in force from 1 July 2007",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-SMOKEBAN-01-v2-en,candidate-translation
C-SMOKEBAN-01-v1-bn,C,public_health_law,bn,"ইংল্যান্ডে, বদ্ধ পাবলিক স্থান ও কর্মক্ষেত্রে ধূমপান কি অনুমোদিত?",Yes — no general ban exists,,2007-06-30,Health Act 2006 (provisions not yet in force),2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-SMOKEBAN-01-v1-en,candidate-translation
C-SMOKEBAN-01-v2-bn,C,public_health_law,bn,"ইংল্যান্ডে, বদ্ধ পাবলিক স্থান ও কর্মক্ষেত্রে ধূমপান কি অনুমোদিত?",No — smoking is banned in virtually all enclosed public places and workplaces,2007-07-01,,"Health Act 2006, in force from 1 July 2007",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-SMOKEBAN-01-v2-en,candidate-translation
C-PLASTIC-01-v1-en,C,environmental_law,en,"In England, does a large retailer have to charge for a single-use plastic carrier bag?",No — bags may be given away free,,2015-10-04,The Single Use Carrier Bags Charges (England) Order 2015 (not yet in force),2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",,verified
C-PLASTIC-01-v2-en,C,environmental_law,en,"In England, does a large retailer have to charge for a single-use plastic carrier bag?",Yes — a minimum 5p charge applies,2015-10-05,,"The Single Use Carrier Bags Charges (England) Order 2015, in force from 5 October 2015",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",,verified
C-PLASTIC-01-v1-de,C,environmental_law,de,Muss ein großer Einzelhändler in England für eine Einweg-Plastiktüte einen Betrag berechnen?,No — bags may be given away free,,2015-10-04,The Single Use Carrier Bags Charges (England) Order 2015 (not yet in force),2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-PLASTIC-01-v1-en,candidate-translation
C-PLASTIC-01-v2-de,C,environmental_law,de,Muss ein großer Einzelhändler in England für eine Einweg-Plastiktüte einen Betrag berechnen?,Yes — a minimum 5p charge applies,2015-10-05,,"The Single Use Carrier Bags Charges (England) Order 2015, in force from 5 October 2015",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-PLASTIC-01-v2-en,candidate-translation
C-PLASTIC-01-v1-sw,C,environmental_law,sw,"Nchini England, je, muuzaji mkubwa analazimika kutoza malipo kwa mfuko wa plastiki wa matumizi moja?",No — bags may be given away free,,2015-10-04,The Single Use Carrier Bags Charges (England) Order 2015 (not yet in force),2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-PLASTIC-01-v1-en,candidate-translation
C-PLASTIC-01-v2-sw,C,environmental_law,sw,"Nchini England, je, muuzaji mkubwa analazimika kutoza malipo kwa mfuko wa plastiki wa matumizi moja?",Yes — a minimum 5p charge applies,2015-10-05,,"The Single Use Carrier Bags Charges (England) Order 2015, in force from 5 October 2015",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-PLASTIC-01-v2-en,candidate-translation
C-PLASTIC-01-v1-bn,C,environmental_law,bn,"ইংল্যান্ডে, একটি বড় খুচরা বিক্রেতাকে কি একবার-ব্যবহারযোগ্য প্লাস্টিক ক্যারিয়ার ব্যাগের জন্য মূল্য নিতে হয়?",No — bags may be given away free,,2015-10-04,The Single Use Carrier Bags Charges (England) Order 2015 (not yet in force),2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-PLASTIC-01-v1-en,candidate-translation
C-PLASTIC-01-v2-bn,C,environmental_law,bn,"ইংল্যান্ডে, একটি বড় খুচরা বিক্রেতাকে কি একবার-ব্যবহারযোগ্য প্লাস্টিক ক্যারিয়ার ব্যাগের জন্য মূল্য নিতে হয়?",Yes — a minimum 5p charge applies,2015-10-05,,"The Single Use Carrier Bags Charges (England) Order 2015, in force from 5 October 2015",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-PLASTIC-01-v2-en,candidate-translation
C-CONGESTION-01-v1-en,C,transport_law,en,Does a driver have to pay a daily charge to drive a car into central London on a weekday?,No — no such charge exists,,2003-02-16,Greater London (Central Zone) Congestion Charging Order 2001 (scheme not yet operational),2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",,verified
C-CONGESTION-01-v2-en,C,transport_law,en,Does a driver have to pay a daily charge to drive a car into central London on a weekday?,Yes — the London Congestion Charge applies,2003-02-17,,"Greater London (Central Zone) Congestion Charging Order 2001, operational from 17 February 2003",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",,verified
